scorer,,,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,,,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,ocean1,img007.png,803.9486993745714,604.5250502779618,,,778.143811573509,681.9397136811491,824.5926096154213,814.4048043932697,594.0689452592633,850.5316473147573,,,583.7469901388383,680.2193878277449,764.3812047462757,754.1933995241241,647.3990467147925,752.4730736707198,,,735.1356652384048,638.931567346045,,,674.9242603692591,650.9738483198742,1466.2741529351747,657.8551517334909,,,1412.9440514796456,752.4730736707198,1827.5425821500494,907.3024004770946,,,1908.3978972600453,776.5576356183781,1872.2710543385579,800.6421975660364,1695.077491437929,795.481220005824,,,1552.290445605383,702.5836239219991,,,1504.1213217100662,759.3543770843364,,,,,,,1789.6954133751578,188.2061937541539,,,,,,,,,,,,,,,,,,,,,557.9421023377759,356.79812738776207,619.8738330603258,454.8567010317994,559.66242819118,468.6193078590327,,,,,860.7194525369089,489.2632180998827,,,702.4494740237257,468.6193078590327,,,630.1957881807508,389.48431860244114,537.298192096926,423.89083567052444,702.4494740237257,441.0940942045661,523.5355852696925,503.025824927116
labeled-data,ocean1,img019.png,753.4145370322176,605.458340706813,,,761.8088533805235,733.4716650184771,721.9358507260708,794.3304585436944,440.72625305782543,785.9361421953886,,,,,671.5699526362359,758.6546140633945,568.7395773694893,739.7674022797064,,,656.8798990267007,647.4299224483423,,,642.1898454171653,695.6972414511008,1399.7768958517668,674.7114505803362,1324.2280487170144,769.1475094987768,,,1695.6765471295475,941.2309946390465,,,1785.915447873835,830.0063030239942,1752.338182480612,809.0205121532296,1569.76180190496,809.0205121532296,,,1466.9314266382135,731.3730859314006,,,1393.4811585905375,779.6404049341592,,,,,1343.1152605007026,112.29225524384515,1584.4518555144953,234.0098422942799,,,,,,,,,,,,,,,,,,,1779.619710612606,162.65815333368027,491.09215114766045,351.5302711705615,535.162311976266,443.86775100192574,478.5006766252016,456.45922552438446,,,,,778.5974860771353,498.4308072659137,,,608.6125800239422,483.7407536563785,,,558.2466819341071,399.79759017332015,447.02199031905474,427.0791183053142,619.1054754593245,452.2620673502315,419.7404621870608,498.4308072659137
labeled-data,ocean1,img042.png,715.6401134648413,615.9512361421954,,,789.0903815125175,683.1057669286421,377.7688804455317,733.4716650184771,352.58593140061413,863.5835684172175,411.34614583875504,615.9512361421954,314.81150783323795,689.4015041898714,,,447.02199031905474,733.4716650184771,,,585.5282100661011,653.7256597095717,,,635.894108155936,660.021396970801,1189.918987144121,716.6830323218654,1133.2573517930566,800.6261958049238,,,1527.7902201634308,859.3864102430646,1483.7200593348252,876.1750429396762,1632.7191745172538,775.4432467600062,,,1351.5095768490082,798.5276167178473,,,1257.0735179305677,746.0631395409358,,,1200.4118825795033,806.9219330661531,1196.2147244053504,827.9077239369177,,,1254.9749388434911,181.54536511736842,1490.0157965960545,334.7416384739498,1540.3816946858897,82.91214802477475,1701.9722843907768,313.7558476031853,,,,,,,,,,,,,1330.5237859782437,32.54624993493985,1565.5646437308071,271.7842658616561,360.98024774892,330.544480299797,398.7546713162962,429.17769739239054,339.9944568781554,429.17769739239054,,,,,549.8523655858012,523.6137563108311,,,434.430515796596,498.4308072659137,344.19161505230835,519.4165981366782,402.95182949044914,380.910378389632,274.9385051787852,391.40327382501425,472.2049393639723,454.360646437308,243.45981887263832,458.55780461146094
labeled-data,ocean1,img071.png,711.4429552906886,567.6839171394367,873.0335449955758,664.2185551449539,,,348.3887732264612,874.0764638525998,226.67118617602665,857.2878311559881,298.0228751366263,668.4157133191068,197.29107895695626,624.3455524905012,402.95182949044914,693.5986623640243,,,635.894108155936,609.655498880966,,,732.4287461614531,645.3313433612658,738.7244834226824,691.5000832769479,,,938.0894966949461,777.5418258470827,,,1282.2564669754852,798.5276167178473,1265.4678342788736,825.8091448498412,1347.3124186748555,676.8100296674127,1336.819523239473,733.4716650184771,1139.553089054286,746.0631395409358,,,,,998.9482902201632,794.3304585436944,,,,,,,1139.553089054286,210.92547233643882,1311.6365741945556,351.5302711705615,1443.8470566803726,194.13683963982703,1473.227163899443,299.06579399365,,,1697.775126216624,204.6297350752095,1301.1436787591733,76.61641076354545,,,,,,,1175.2289335345858,87.1093061989277,1359.9038931973141,280.178582209962,300.12145422370264,336.8402175610263,325.3044032686202,445.9663300890022,211.98113256649145,374.6146411284026,304.3186123978556,615.9512361421954,,,308.51577057200853,573.9796544006662,,,237.1640816114089,506.8251236142195,117.54507364805079,508.92370270129595,,,176.30528808619164,349.43169208348513,,,92.36212460313328,397.6990110862437
labeled-data,ocean1,img078.png,688.3585853328475,607.5569197938895,,,860.4420704731172,704.0915577994066,274.9385051787852,892.9636756362879,153.2209181283506,878.2736220267527,,,161.61523447665644,651.6270806224952,356.7830895747671,727.1759277572477,,,,,610.7111591110186,653.7256597095716,,,717.7386925519179,699.8943996252538,,,870.9349659084994,825.8091448498412,870.9349659084994,825.8091448498412,1215.1019361890385,840.4991984593764,1213.0033571019621,876.1750429396762,1296.9465205850204,733.4716650184771,1288.5522042367145,775.4432467600062,1091.2857700515274,800.6261958049238,,,,,,,908.7093894758757,823.7105657627648,942.286654869099,848.8935148076823,,,1089.187190964451,269.6856867745796,1173.1303544475093,410.2904856087024,1336.819523239473,313.7558476031853,1477.424322073596,296.96721490657364,1504.7058502055897,194.13683963982703,1712.465179826159,145.8695206370685,1236.087727059803,179.44678603029183,,,,,,,1147.9474054025918,145.8695206370685,1261.2706761047207,351.5302711705615,253.95271430802057,380.910378389632,272.8399260917087,487.93791183053133,134.33370634466246,313.7558476031853,201.4882371311092,649.5285015354187,90.26354551605687,693.5986623640243,,,,,,,33.60191016499249,523.6137563108311,,,153.2209181283506,383.0089574767085,,,67.17917555821583,338.93879664810277
labeled-data,ocean1,img090.png,684.1614271586946,605.458340706813,,,883.526440430958,693.5986623640243,159.51665538957997,804.8233539790766,,,,,,,,,327.4029823556967,691.5000832769479,,,591.8239473273304,636.9370270129599,696.7529016811534,716.6830323218654,730.3301670743767,668.4157133191068,,,770.2031697288294,809.0205121532296,770.2031697288294,809.0205121532296,1099.6800863998333,888.7665174621351,,,1175.2289335345858,777.5418258470827,,,961.173866652787,804.8233539790767,,,,,,,805.8790142091291,794.3304585436944,843.6534377765054,823.7105657627648,,,1040.9198719616925,269.6856867745796,1103.8772445739862,355.72742934471444,1324.2280487170144,240.3055795555092,1391.382579503461,391.40327382501425,1521.4944829022015,59.82777806693366,1569.76180190496,267.58710768750313,1221.3976734502678,171.05246968198617,,,,,,,1095.4829282256803,160.5595742466037,1200.4118825795033,347.33311299640866,241.36123978556185,372.5160620413261,,,,,,,,,,,,,,,,,88.16496642898039,353.62885025763796,,,,,,
